                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6374,                0.29484,                0.80864,                0.26616,                0.07013,                0.05493,                0.01314,                  1.478,                0.27298,                0.81743,               0.066899,             3.3134e-05,             3.3134e-05
                      2,                 1.5811,                0.22899,                0.75983,                0.17384,                0.08668,                0.05252,                0.00863,                 1.4698,                 0.2716,                 0.8179,               0.033599,             6.5803e-05,             6.5803e-05
                      3,                 1.5291,                0.24534,                 0.7451,                0.21913,                0.10402,                0.06225,                0.01136,                 1.4691,                0.26054,                 0.7578,             0.00029741,             9.7806e-05,             9.7806e-05
                      4,                 1.5375,                0.23752,                0.69465,                0.33149,                0.14972,                  0.103,                0.01968,                 1.4404,                0.27071,                0.68446,             9.7003e-05,             9.7003e-05,             9.7003e-05
                      5,                 1.4581,                0.28386,                0.61016,                0.44195,                0.27975,                0.21379,                0.04766,                 1.2887,                0.37143,                0.58439,             9.6004e-05,             9.6004e-05,             9.6004e-05
                      6,                 1.3395,                 0.3607,                 0.5195,                0.42573,                0.35382,                0.27154,                0.07945,                 1.1267,                0.44511,                0.45399,             9.5005e-05,             9.5005e-05,             9.5005e-05
                      7,                 1.2305,                0.42372,                0.43498,                0.38422,                0.34121,                0.25929,                0.06379,                 1.1283,                0.46429,                0.38596,             9.4006e-05,             9.4006e-05,             9.4006e-05
                      8,                   1.19,                0.44537,                0.40386,                0.42935,                0.39368,                0.30668,                0.09294,                 1.0723,                0.48258,                 0.3703,             9.3007e-05,             9.3007e-05,             9.3007e-05
                      9,                 1.1584,                0.46189,                0.38575,                0.37968,                0.39716,                0.28242,                0.07409,                 1.0527,                0.49478,                0.33947,             9.2008e-05,             9.2008e-05,             9.2008e-05
                     10,                 1.1527,                0.46124,                 0.3716,                0.44023,                0.43341,                0.33486,                0.11073,                0.96609,                0.61291,                0.29559,             9.1009e-05,             9.1009e-05,             9.1009e-05
                     11,                 1.0902,                0.48857,                0.34424,                0.42748,                0.39638,                0.31854,                0.09581,                 1.0053,                0.50096,                0.30346,              9.001e-05,              9.001e-05,              9.001e-05
                     12,                  1.053,                0.49715,                0.32873,                0.48006,                0.48621,                 0.4117,                0.15624,                 0.8888,                0.55481,                  0.259,             8.9011e-05,             8.9011e-05,             8.9011e-05
                     13,                 1.0169,                0.51482,                0.30356,                0.50534,                0.51615,                0.45322,                0.19988,                0.83265,                0.58467,                0.23379,             8.8012e-05,             8.8012e-05,             8.8012e-05
                     14,                0.96801,                0.53622,                0.29645,                0.48111,                0.50039,                0.43419,                 0.1899,                0.82927,                0.60871,                0.22694,             8.7013e-05,             8.7013e-05,             8.7013e-05
                     15,                0.94852,                0.54185,                0.27611,                0.45952,                0.51458,                0.43926,                0.20877,                0.76976,                0.61703,                0.20799,             8.6014e-05,             8.6014e-05,             8.6014e-05
                     16,                0.92155,                0.55292,                 0.2638,                0.45255,                0.50591,                0.41325,                0.16555,                0.83212,                0.59943,                0.23425,             8.5015e-05,             8.5015e-05,             8.5015e-05
                     17,                0.92024,                0.55705,                0.26865,                 0.4802,                0.54163,                0.45017,                0.21641,                0.75699,                 0.6203,                0.20125,             8.4016e-05,             8.4016e-05,             8.4016e-05
                     18,                0.92621,                0.55675,                0.26603,                 0.4386,                0.53586,                0.40969,                0.18047,                 0.8107,                0.60803,                 0.2219,             8.3017e-05,             8.3017e-05,             8.3017e-05
                     19,                0.97258,                0.53912,                0.28433,                0.45318,                0.49488,                0.39653,                0.17978,                0.80456,                 0.6448,                0.21384,             8.2018e-05,             8.2018e-05,             8.2018e-05
                     20,                0.93697,                0.56771,                0.28132,                0.43962,                0.52088,                0.40434,                0.19349,                0.77607,                0.66434,                0.22401,             8.1019e-05,             8.1019e-05,             8.1019e-05
                     21,                0.87537,                0.58956,                0.24961,                0.44666,                0.51715,                0.40157,                 0.1772,                0.78162,                0.65175,                  0.212,              8.002e-05,              8.002e-05,              8.002e-05
                     22,                 0.8892,                0.58154,                0.24948,                0.43498,                0.54599,                0.41153,                0.19902,                0.72683,                0.66572,                 0.1891,             7.9021e-05,             7.9021e-05,             7.9021e-05
                     23,                 0.8615,                0.60348,                0.24146,                0.42191,                0.56422,                 0.4009,                0.19831,                0.72729,                0.65188,                0.19927,             7.8022e-05,             7.8022e-05,             7.8022e-05
                     24,                0.85256,                0.59445,                0.23497,                0.40698,                0.58708,                0.42678,                0.21363,                 0.7167,                0.67413,                0.18954,             7.7023e-05,             7.7023e-05,             7.7023e-05
                     25,                0.83657,                0.59507,                0.22851,                0.42458,                0.59653,                0.41945,                0.22271,                0.67724,                0.68696,                0.18352,             7.6024e-05,             7.6024e-05,             7.6024e-05
                     26,                 0.8139,                0.60995,                0.22288,                0.43377,                0.57998,                0.45256,                0.23628,                0.67381,                0.69674,                0.17777,             7.5025e-05,             7.5025e-05,             7.5025e-05
                     27,                0.80138,                0.60936,                0.21787,                 0.4473,                0.56974,                0.45529,                0.24242,                0.67588,                0.66895,                 0.1801,             7.4026e-05,             7.4026e-05,             7.4026e-05
                     28,                0.79948,                0.60258,                 0.2117,                0.47164,                0.55922,                0.49728,                0.26262,                0.65811,                0.68064,                0.17294,             7.3027e-05,             7.3027e-05,             7.3027e-05
                     29,                0.80599,                0.59589,                 0.2232,                0.54795,                0.54638,                0.53408,                0.29282,                0.65226,                0.65353,                0.17531,             7.2028e-05,             7.2028e-05,             7.2028e-05
                     30,                0.80279,                0.58677,                 0.2125,                0.55857,                0.54531,                0.54184,                0.29105,                0.66786,                0.67648,                0.18142,             7.1029e-05,             7.1029e-05,             7.1029e-05
                     31,                 0.7887,                0.57526,                0.20654,                0.60077,                0.58077,                0.58039,                0.31146,                0.65485,                0.61244,                0.17681,              7.003e-05,              7.003e-05,              7.003e-05
                     32,                0.77851,                0.58476,                0.21071,                0.58777,                 0.5595,                0.55523,                0.28786,                0.69939,                  0.639,                0.18758,             6.9031e-05,             6.9031e-05,             6.9031e-05
                     33,                0.77126,                0.56304,                0.20243,                0.66416,                 0.5658,                0.62478,                0.33516,                0.65639,                0.58098,                0.17991,             6.8032e-05,             6.8032e-05,             6.8032e-05
                     34,                 0.7732,                0.56553,                0.20231,                0.59394,                0.57132,                 0.5738,                0.29894,                0.67852,                0.60621,                0.18186,             6.7033e-05,             6.7033e-05,             6.7033e-05
                     35,                0.76361,                0.54419,                0.20018,                0.70933,                0.58235,                 0.6588,                0.34472,                0.66567,                0.56415,                0.17915,             6.6034e-05,             6.6034e-05,             6.6034e-05
                     36,                0.76293,                0.53605,                0.19406,                0.69782,                0.61872,                0.65337,                0.35871,                0.65549,                0.54004,                0.17427,             6.5035e-05,             6.5035e-05,             6.5035e-05
                     37,                0.75679,                0.51699,                 0.1964,                0.80432,                0.60126,                0.68839,                 0.3719,                0.64896,                0.52522,                0.17861,             6.4036e-05,             6.4036e-05,             6.4036e-05
                     38,                0.74002,                0.51388,                0.19366,                0.79147,                0.66115,                0.72005,                0.39367,                0.63046,                0.50373,                0.17388,             6.3037e-05,             6.3037e-05,             6.3037e-05
                     39,                0.72863,                0.50887,                0.19624,                0.79683,                0.64145,                0.70389,                0.38756,                0.64074,                0.50575,                0.17586,             6.2038e-05,             6.2038e-05,             6.2038e-05
                     40,                0.73484,                0.49728,                0.19235,                0.78702,                0.66036,                0.70946,                0.38692,                 0.6523,                0.50788,                0.17821,             6.1039e-05,             6.1039e-05,             6.1039e-05
                     41,                0.74109,                0.50401,                0.19136,                  0.779,                  0.658,                0.71351,                0.39274,                0.63528,                0.53383,                0.17815,              6.004e-05,              6.004e-05,              6.004e-05
                     42,                 0.7224,                0.50432,                0.18766,                0.82534,                0.65537,                 0.7265,                0.39409,                0.63825,                0.48408,                0.17075,             5.9041e-05,             5.9041e-05,             5.9041e-05
                     43,                0.72438,                0.50796,                0.18541,                0.83706,                0.65169,                0.72489,                0.40251,                0.63754,                0.49177,                0.16974,             5.8042e-05,             5.8042e-05,             5.8042e-05
                     44,                0.72117,                0.48834,                0.18989,                 0.8006,                0.69188,                0.73767,                0.40605,                0.62405,                0.49917,                0.17817,             5.7043e-05,             5.7043e-05,             5.7043e-05
                     45,                0.71258,                0.48038,                0.18326,                0.80464,                0.68159,                0.72916,                0.40504,                0.63128,                0.49031,                0.17567,             5.6044e-05,             5.6044e-05,             5.6044e-05
                     46,                0.70642,                0.49364,                0.18505,                0.82578,                0.67139,                0.73863,                0.39558,                0.64082,                0.47865,                0.17031,             5.5045e-05,             5.5045e-05,             5.5045e-05
                     47,                  0.712,                0.50408,                0.18313,                 0.8235,                0.68756,                0.75042,                0.40973,                0.61845,                0.48593,                 0.1726,             5.4046e-05,             5.4046e-05,             5.4046e-05
                     48,                0.71741,                 0.4787,                0.18586,                0.82835,                0.68453,                0.75114,                0.41538,                 0.6201,                0.48484,                0.16793,             5.3047e-05,             5.3047e-05,             5.3047e-05
                     49,                0.70718,                0.47335,                0.18184,                0.80231,                 0.6974,                0.74424,                0.40302,                0.64227,                0.47218,                0.17341,             5.2048e-05,             5.2048e-05,             5.2048e-05
                     50,                0.69535,                0.47144,                0.17777,                 0.8139,                0.70213,                0.75782,                0.42701,                0.60694,                 0.4722,                0.16438,             5.1049e-05,             5.1049e-05,             5.1049e-05
                     51,                0.68658,                0.47049,                 0.1686,                0.82759,                0.69188,                0.75402,                0.40449,                0.63533,                0.47793,                0.17406,              5.005e-05,              5.005e-05,              5.005e-05
                     52,                0.68949,                0.46783,                0.16921,                0.83554,                0.68461,                0.75776,                0.41617,                0.62871,                0.47151,                0.17372,             4.9051e-05,             4.9051e-05,             4.9051e-05
                     53,                 0.6711,                0.47101,                0.16995,                0.82298,                 0.6777,                0.75173,                0.42113,                0.62299,                0.47443,                0.16969,             4.8052e-05,             4.8052e-05,             4.8052e-05
                     54,                0.66875,                0.46937,                0.16807,                0.81827,                0.69346,                0.75282,                0.42663,                0.60402,                0.46944,                0.16518,             4.7053e-05,             4.7053e-05,             4.7053e-05
                     55,                0.67365,                0.47981,                 0.1695,                0.82372,                0.70213,                0.75773,                 0.4267,                0.59709,                 0.4801,                0.16446,             4.6054e-05,             4.6054e-05,             4.6054e-05
                     56,                0.67033,                0.47737,                0.16667,                0.82265,                0.71395,                0.76468,                0.43149,                 0.6066,                0.47137,                0.16853,             4.5055e-05,             4.5055e-05,             4.5055e-05
                     57,                0.65492,                0.47453,                0.16711,                0.83196,                0.71785,                0.76277,                0.43404,                0.60557,                 0.4632,                0.16921,             4.4056e-05,             4.4056e-05,             4.4056e-05
                     58,                0.66305,                0.46999,                0.16403,                0.82595,                0.70922,                0.76752,                0.43107,                0.60543,                0.47264,                0.16705,             4.3057e-05,             4.3057e-05,             4.3057e-05
                     59,                0.64967,                0.46072,                0.15968,                0.82173,                0.71868,                0.77699,                0.43365,                0.59929,                0.47201,                0.16821,             4.2058e-05,             4.2058e-05,             4.2058e-05
                     60,                 0.6398,                0.45985,                0.16006,                0.83623,                0.71219,                0.76442,                 0.4372,                0.60595,                0.45292,                0.16675,             4.1059e-05,             4.1059e-05,             4.1059e-05
                     61,                0.64283,                 0.4692,                0.15672,                0.83085,                0.71946,                0.76728,                0.43089,                0.61361,                0.45644,                 0.1693,              4.006e-05,              4.006e-05,              4.006e-05
                     62,                0.63621,                0.46408,                0.15739,                0.82131,                0.72971,                0.77562,                0.44671,                0.59941,                0.46316,                0.17397,             3.9061e-05,             3.9061e-05,             3.9061e-05
                     63,                0.64214,                0.46131,                0.16014,                0.81486,                0.73365,                 0.7724,                0.44103,                 0.6019,                0.45945,                0.16792,             3.8062e-05,             3.8062e-05,             3.8062e-05
                     64,                0.64282,                0.45948,                0.15381,                0.80046,                0.74074,                0.77277,                0.44482,                0.60084,                0.48078,                0.17108,             3.7063e-05,             3.7063e-05,             3.7063e-05
                     65,                 0.6454,                0.46102,                0.15673,                0.81169,                0.71946,                 0.7598,                0.43371,                0.61362,                0.47226,                0.16996,             3.6064e-05,             3.6064e-05,             3.6064e-05
                     66,                0.64056,                0.45588,                0.15829,                0.81043,                0.74468,                0.77737,                 0.4381,                0.60987,                0.45488,                 0.1728,             3.5065e-05,             3.5065e-05,             3.5065e-05
                     67,                 0.6373,                0.45244,                0.15178,                0.81831,                0.73467,                0.77646,                0.43879,                0.60435,                0.45301,                0.17152,             3.4066e-05,             3.4066e-05,             3.4066e-05
                     68,                0.61046,                0.45581,                0.15004,                0.79934,                0.74783,                0.77756,                0.43653,                0.60335,                0.45848,                0.17139,             3.3067e-05,             3.3067e-05,             3.3067e-05
                     69,                 0.6121,                0.45521,                0.15119,                0.82329,                0.73838,                 0.7772,                 0.4373,                0.60499,                 0.4525,                0.16972,             3.2068e-05,             3.2068e-05,             3.2068e-05
                     70,                0.62682,                0.45093,                0.15304,                 0.8265,                0.73522,                0.77931,                0.43949,                0.60224,                0.44959,                0.17069,             3.1069e-05,             3.1069e-05,             3.1069e-05
                     71,                0.61795,                0.45419,                  0.148,                0.82306,                0.73838,                0.77672,                0.44047,                0.59072,                0.45715,                0.16632,              3.007e-05,              3.007e-05,              3.007e-05
                     72,                0.61583,                 0.4484,                0.14765,                0.83244,                0.72577,                0.77196,                0.43355,                0.60299,                0.45976,                0.16809,             2.9071e-05,             2.9071e-05,             2.9071e-05
                     73,                0.61685,                0.45045,                0.14722,                0.83305,                 0.7368,                0.77889,                0.44515,                0.59118,                0.45259,                0.16753,             2.8072e-05,             2.8072e-05,             2.8072e-05
                     74,                0.60809,                0.44799,                0.14506,                0.82359,                 0.7502,                0.78252,                0.44338,                0.59685,                0.45507,                0.16827,             2.7073e-05,             2.7073e-05,             2.7073e-05
                     75,                0.59805,                0.44585,                0.14273,                0.83741,                0.72971,                 0.7767,                0.43696,                 0.6079,                0.45373,                0.17185,             2.6074e-05,             2.6074e-05,             2.6074e-05
                     76,                0.59835,                0.44198,                0.14332,                0.81802,                0.74074,                 0.7788,                0.44923,                0.59545,                0.45139,                0.16666,             2.5075e-05,             2.5075e-05,             2.5075e-05
                     77,                0.59611,                0.44285,                0.14443,                0.82434,                 0.7396,                0.77725,                0.44734,                0.59989,                 0.4445,                 0.1694,             2.4076e-05,             2.4076e-05,             2.4076e-05
                     78,                0.59268,                0.44461,                0.14274,                0.82949,                0.73985,                0.77817,                0.44656,                 0.5947,                0.45144,                 0.1714,             2.3077e-05,             2.3077e-05,             2.3077e-05
                     79,                0.58807,                0.44491,                0.14284,                0.84738,                 0.7263,                0.78236,                 0.4501,                0.59299,                0.44125,                0.16893,             2.2078e-05,             2.2078e-05,             2.2078e-05
                     80,                0.59143,                0.44573,                0.14183,                0.83371,                0.74783,                0.78376,                0.45079,                 0.5906,                0.44625,                0.16754,             2.1079e-05,             2.1079e-05,             2.1079e-05
                     81,                0.58453,                0.44385,                0.14382,                0.81229,                0.73995,                0.77875,                0.45363,                0.59194,                0.44772,                0.16831,              2.008e-05,              2.008e-05,              2.008e-05
                     82,                0.59008,                0.44182,                0.13842,                0.83796,                0.73354,                0.77951,                0.44618,                0.59713,                 0.4484,                0.16851,             1.9081e-05,             1.9081e-05,             1.9081e-05
                     83,                0.58612,                0.43892,                0.13956,                 0.8315,                0.73128,                0.78017,                0.44858,                0.59688,                0.44793,                0.16938,             1.8082e-05,             1.8082e-05,             1.8082e-05
                     84,                0.58201,                0.43821,                0.13501,                0.83546,                0.73286,                0.77957,                0.44757,                 0.6064,                 0.4442,                0.17479,             1.7083e-05,             1.7083e-05,             1.7083e-05
                     85,                0.59327,                0.43959,                0.14023,                0.82007,                0.75063,                0.78462,                0.44882,                0.59524,                0.45474,                0.16944,             1.6084e-05,             1.6084e-05,             1.6084e-05
                     86,                0.57964,                0.43976,                0.13778,                0.83847,                 0.7368,                0.77997,                0.45031,                0.59089,                0.45949,                0.16774,             1.5085e-05,             1.5085e-05,             1.5085e-05
                     87,                0.58034,                0.43792,                0.13417,                0.83444,                0.73444,                 0.7799,                0.45236,                0.59152,                0.45028,                 0.1691,             1.4086e-05,             1.4086e-05,             1.4086e-05
                     88,                0.57017,                 0.4346,                0.13454,                0.80515,                0.74783,                 0.7699,                0.44492,                0.59797,                0.45213,                0.16911,             1.3087e-05,             1.3087e-05,             1.3087e-05
                     89,                0.57618,                0.44084,                0.13468,                0.83635,                0.73699,                0.77839,                0.44807,                0.59072,                 0.4553,                0.16672,             1.2088e-05,             1.2088e-05,             1.2088e-05
                     90,                0.56866,                0.43913,                0.13349,                0.83189,                0.73309,                0.77608,                0.44591,                0.60031,                0.44795,                0.16881,             1.1089e-05,             1.1089e-05,             1.1089e-05
                     91,                0.50564,                0.43979,                0.13383,                0.82775,                0.73089,                0.77251,                0.44097,                0.60915,                0.45086,                0.17174,              1.009e-05,              1.009e-05,              1.009e-05
                     92,                0.50137,                 0.4328,                0.12917,                0.83445,                0.73483,                0.78488,                 0.4488,                0.59523,                0.44748,                0.16741,              9.091e-06,              9.091e-06,              9.091e-06
                     93,                0.48948,                0.43013,                0.12742,                0.85163,                0.73275,                0.78585,                0.45192,                0.59509,                0.44134,                0.16661,              8.092e-06,              8.092e-06,              8.092e-06
                     94,                0.48975,                 0.4299,                0.12716,                0.83785,                0.74514,                0.78094,                0.45268,                0.59502,                0.43967,                0.16962,              7.093e-06,              7.093e-06,              7.093e-06
                     95,                0.48018,                0.42746,                0.12581,                0.83115,                0.74088,                0.78424,                0.45189,                0.59645,                0.44169,                0.16897,              6.094e-06,              6.094e-06,              6.094e-06
                     96,                0.49532,                0.42206,                0.12506,                0.84022,                0.73759,                0.77942,                0.45207,                0.59434,                  0.444,                0.16666,              5.095e-06,              5.095e-06,              5.095e-06
                     97,                0.48573,                0.42294,                0.12452,                0.84008,                0.74547,                0.78709,                 0.4562,                0.58655,                0.44601,                0.16391,              4.096e-06,              4.096e-06,              4.096e-06
                     98,                0.47686,                 0.4233,                0.12151,                0.83905,                0.74232,                0.78691,                0.45682,                0.58701,                0.44416,                0.16415,              3.097e-06,              3.097e-06,              3.097e-06
                     99,                0.47579,                0.42163,                 0.1195,                0.83401,                0.74834,                0.78677,                0.45525,                0.59213,                0.44431,                0.16549,              2.098e-06,              2.098e-06,              2.098e-06
                    100,                0.47661,                0.42104,                0.12115,                0.84297,                0.74468,                0.78515,                0.45375,                0.59294,                0.44307,                0.16763,              1.099e-06,              1.099e-06,              1.099e-06
